time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-03-08T15:06:12.620Z,10.384,126.006,30,6,mww,,102,3.32,0.92,us,us1000jccx,2019-05-24T21:21:17.040Z,"40 km N of Santa Monica, Philippines",earthquake,8.5,1.7,0.043,51,reviewed,us,us
2019-03-10T07:53:20.170Z,-3.2806,90.2747,10,5.5,mww,,58,8.602,0.64,us,us1000jd50,2019-05-24T21:21:26.040Z,"South Indian Ocean",earthquake,8.8,1.8,0.052,36,reviewed,us,us
2019-03-10T08:12:26.426Z,-17.8915,-178.6034,578.19,6.2,mww,,19,3.188,1.03,us,us1000jd55,2019-05-24T21:21:26.040Z,"221 km E of Levuka, Fiji",earthquake,9.4,3.2,0.06,27,reviewed,us,us
2019-03-10T12:48:00.607Z,-10.1317,152.0647,9,6,mww,,35,4.888,0.75,us,us1000jd7d,2019-05-24T21:21:26.040Z,"162 km ENE of Samarai, Papua New Guinea",earthquake,7.1,1.8,0.039,64,reviewed,us,us
2019-03-10T17:10:52.490Z,36.8322,142.3585,13,5.7,mww,,27,1.622,0.63,us,us1000jd8k,2019-05-24T21:21:27.040Z,"133 km E of Iwaki, Japan",earthquake,5.9,1.8,0.058,29,reviewed,us,us
2019-03-10T17:58:43.410Z,58.4207,-31.7616,10,5.5,mww,,67,7.415,0.88,us,us1000jd8y,2019-05-24T21:21:27.040Z,"Reykjanes Ridge",earthquake,5.2,1.8,0.05,39,reviewed,us,us
2019-03-10T18:04:59.100Z,58.3514,-31.9495,10,5.9,mww,,21,7.763,0.8,us,usd0009ffl,2019-05-24T21:21:49.040Z,"Reykjanes Ridge",earthquake,8.1,1.8,0.069,20,reviewed,us,us
2019-03-11T16:25:51.980Z,-6.0469,149.0143,34.64,5.9,mww,,20,3.638,1.02,us,us1000jdlr,2020-07-10T16:03:47.236Z,"61 km WNW of Kandrian, Papua New Guinea",earthquake,7.5,3.3,0.05,38,reviewed,us,us
2019-03-13T10:55:13.370Z,19.3258333,-155.2005,6.97,5.54,ml,75,88,,0.12,hv,hv70863117,2020-07-09T21:49:26.958Z,"13 km SSE of Volcano, Hawaii",earthquake,0.21,0.22,0.194,36,reviewed,hv,hv
2019-03-15T05:03:50.060Z,-17.8744,-65.9072,359,6.3,mww,,23,2.648,0.95,us,us1000jg5z,2019-06-01T21:24:15.040Z,"31 km SSE of Tarata, Bolivia",earthquake,6.8,1.9,0.03,108,reviewed,us,us
2019-03-15T17:53:34.015Z,-27.4594,-176.4619,10,5.6,mww,,62,10.278,0.98,us,us1000jgn6,2019-06-01T21:24:16.040Z,"Kermadec Islands region",earthquake,9.6,1.7,0.063,24,reviewed,us,us
